exp_id,backbone,baseline,id_random
301,bert,ncl
302,bert,ncl
303,bert,ncl
304,bert,one
305,bert,one
306,bert,one
307,bert,a-gem
308,bert,a-gem
309,bert,a-gem
310,bert,ewc
311,bert,ewc
312,bert,ewc
313,bert,hat
314,bert,hat
315,bert,hat
316,bert,mtl
317,bert,mtl
318,bert,mtl
319,bert_frozen,ncl
320,bert_frozen,ncl
321,bert_frozen,ncl
322,bert_frozen,one
323,bert_frozen,one
324,bert_frozen,one
325,bert_frozen,a-gem
326,bert_frozen,a-gem
327,bert_frozen,a-gem
328,bert_frozen,ewc
329,bert_frozen,ewc
330,bert_frozen,ewc
331,bert_frozen,hat
332,bert_frozen,hat
333,bert_frozen,hat
334,bert_frozen,mtl
335,bert_frozen,mtl
336,bert_frozen,mtl
