backbone,baseline,last_acc,acc std,f1 std,,bwt std,fwt std,,last_f1,,bwt,,fwt,,exp_id,backbone,baseline,avg_acc,avg_f1,avg_lss,last_acc,last_f1,last_lss,bwt,fwt
BERT Frozen,MULTI,urutan0,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
BERT,MULTI,urutan1,0,,,,,,,,,,,,,,,,,,,,,,
BERT,MULTI,urutan1,1,,,,,,,,,,,,,,,,,,,,,,
BERT,MULTI,urutan1,2,,,,,,,,,,,,,,,,,,,,,,
BERT,MULTI,urutan1,3,0.6996,0.9325,0.818,0.4138,0.6341,0.636325,0.9256,0.7584,0.2113,0.65,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
BERT Frozen,MULTI,urutan1,0,,,,,,,,,,,,,,,,,,,,,,
BERT Frozen,MULTI,urutan1,1,,,,,,,,,,,,,,,,,,,,,,
BERT Frozen,MULTI,urutan1,2,,,,,,,,,,,,,,,,,,,,,,
BERT Frozen,MULTI,urutan1,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
BERT,MULTI,urutan2,0,,,,,,,,,,,,,,,,,,,,,,
BERT,MULTI,urutan2,1,,,,,,,,,,,,,,,,,,,,,,
BERT,MULTI,urutan2,2,,,,,,,,,,,,,,,,,,,,,,
BERT,MULTI,urutan2,3,0.6735,0.915,0.3793,0.802,0.5977,0.61725,0.9109,0.192,0.7479,0.6182,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
BERT Frozen,MULTI,urutan2,0,,,,,,,,,,,,,,,,,,,,,,
BERT Frozen,MULTI,urutan2,1,,,,,,,,,,,,,,,,,,,,,,
BERT Frozen,MULTI,urutan2,2,,,,,,,,,,,,,,,,,,,,,,
BERT Frozen,MULTI,urutan2,3,,,,,,,,,,,,,,,,,,,,,,
