305,bert,one,0.7331,0.6861,0.7433,0.7331,0.6861,0.7433,0.0,0.0
306,bert,one,0.7042,0.6592,0.7646,0.7042,0.6592,0.7646,0.0,0.0
301,bert,ncl,0.296,0.1936,1.7396,0.1475,0.0729,2.0517,-0.3383,-0.117
302,bert,ncl,0.3539,0.2444,1.6078,0.2174,0.1091,1.9446,-0.3252,0.009
303,bert,ncl,0.3222,0.2421,1.7065,0.2495,0.1161,1.9337,-0.3151,-0.0659
316,bert,mtl,0.7384,0.6882,0.758,0.7384,0.6882,0.758,0.0,0.0
317,bert,mtl,0.7584,0.7309,0.6689,0.7584,0.7309,0.6689,0.0,0.0
318,bert,mtl,0.722,0.6499,0.8253,0.722,0.6499,0.8253,0.0,0.0
313,bert,hat,0.3257,0.2017,nan,0.2284,0.1121,nan,-0.1476,0.0548
314,bert,hat,0.3028,0.2189,nan,0.1071,0.0521,nan,-0.3223,-0.0677
315,bert,hat,0.3336,0.2483,nan,0.1937,0.0961,nan,-0.2374,-0.0298
310,bert,ewc,0.1261,0.1081,0.299,0.0,0.0,0.0,-0.1911,0.001
311,bert,ewc,0.3584,0.2473,1.5769,0.1853,0.0964,2.133,-0.3523,0.1048
312,bert,ewc,0.3381,0.2642,1.6611,0.2615,0.1471,1.8202,-0.3443,0.1232
307,bert,a-gem,0.2924,0.1803,1.9897,0.321,0.1543,1.6734,-0.142,-0.0403
308,bert,a-gem,0.3456,0.2479,1.6669,0.114,0.0529,2.2694,-0.4329,-0.046
309,bert,a-gem,0.3501,0.2541,1.6551,0.2626,0.1289,1.8384,-0.2609,-0.0321
